LookupID,Geo Place Name,Year,Borough
199,Williamsbridge and Baychester (CD12),2018,Bronx
200,Upper East Side (CD8),2018,Manhattan
201,South Ozone Park and Howard Beach (CD10),2013,Queens
202,Jamaica and Hollis (CD12),2017,Queens
203,Jamaica and Hollis (CD12),2009,Queens
204,Jamaica and Hollis (CD12),2010,Queens
205,Jamaica and Hollis (CD12),2013,Queens
206,Williamsbridge and Baychester (CD12),2017,Bronx
207,Upper East Side (CD8),2021,Manhattan
208,Port Richmond,2014,Staten Island
209,Washington Heights,2015,Manhattan
210,Greenpoint,2011,Brooklyn
211,Greenpoint,2016,Brooklyn
212,Jamaica and Hollis (CD12),2012,Queens
213,Jamaica and Hollis (CD12),2010,Queens
214,Jamaica and Hollis (CD12),2019,Queens
215,Jamaica and Hollis (CD12),2019,Queens
216,Williamsbridge and Baychester (CD12),2012,Bronx
217,Throgs Neck and Co-op City (CD10),2010,Bronx
218,Throgs Neck and Co-op City (CD10),2012,Bronx
219,Washington Heights,2015,Manhattan
220,South Ozone Park and Howard Beach (CD10),2009,Queens
221,South Ozone Park and Howard Beach (CD10),2013,Queens
222,South Ozone Park and Howard Beach (CD10),2017,Queens
223,South Ozone Park and Howard Beach (CD10),2021,Queens
224,Central Harlem (CD10),2017,Manhattan
225,Washington Heights and Inwood (CD12),2021,Manhattan
226,Williamsbridge and Baychester (CD12),2010,Bronx
227,Williamsbridge and Baychester (CD12),2013,Bronx
228,Southeast Queens,2013,Queens
229,Southeast Queens,2014,Queens
230,Southeast Queens,2017,Queens
231,Southeast Queens,2021,Queens
232,Coney Island - Sheepshead Bay,2012,Brooklyn
233,Union Square - Lower East Side,2013,Manhattan
234,Union Square - Lower East Side,2021,Manhattan
235,Manhattan,2013,Manhattan
236,Pelham - Throgs Neck,2009,Bronx
237,Bedford Stuyvesant - Crown Heights,2017,Brooklyn
238,Bensonhurst - Bay Ridge,2011,Brooklyn
239,Bensonhurst - Bay Ridge,2015,Brooklyn
240,Bensonhurst - Bay Ridge,2020,Brooklyn
241,Southeast Queens,2009,Queens
242,Coney Island - Sheepshead Bay,2020,Brooklyn
243,Southeast Queens,2012,Queens
244,Southeast Queens,2022,Queens
245,High Bridge - Morrisania,2018,Bronx
246,High Bridge - Morrisania,2021,Bronx
247,Bensonhurst - Bay Ridge,2013,Brooklyn
248,Rockaways,2018,Queens
249,Rockaways,2021,Queens
250,Southeast Queens,2021,Queens
251,Southeast Queens,2016,Queens
252,Southeast Queens,2018,Queens
253,Southeast Queens,2021,Queens
254,Bensonhurst - Bay Ridge,2021,Brooklyn
255,Woodside and Sunnyside (CD2),2014,Queens
256,Hunts Point and Longwood (CD2),2013,Bronx
257,Hunts Point and Longwood (CD2),2009,Bronx
258,Woodside and Sunnyside (CD2),2016,Queens
259,Hunts Point and Longwood (CD2),2012,Bronx
260,Greenwich Village and Soho (CD2),2021,Manhattan
261,Williamsbridge and Baychester (CD12),2019,Bronx
262,Jamaica and Hollis (CD12),2011,Queens
263,Jamaica and Hollis (CD12),2009,Queens
264,Jamaica and Hollis (CD12),2014,Queens
265,Jamaica and Hollis (CD12),2018,Queens
266,Jamaica and Hollis (CD12),2020,Queens
267,Williamsbridge and Baychester (CD12),2009,Bronx
268,Throgs Neck and Co-op City (CD10),2009,Bronx
269,Throgs Neck and Co-op City (CD10),2011,Bronx
270,Jamaica and Hollis (CD12),2010,Queens
271,Jamaica and Hollis (CD12),2009,Queens
272,Jamaica and Hollis (CD12),2013,Queens
273,Jamaica and Hollis (CD12),2017,Queens
274,Jamaica and Hollis (CD12),2021,Queens
275,Williamsbridge and Baychester (CD12),2010,Bronx
276,Williamsbridge and Baychester (CD12),2013,Bronx
277,Williamsbridge and Baychester (CD12),2021,Bronx
278,Throgs Neck and Co-op City (CD10),2009,Bronx
279,Throgs Neck and Co-op City (CD10),2010,Bronx
280,South Ozone Park and Howard Beach (CD10),2014,Queens
281,Throgs Neck and Co-op City (CD10),2017,Bronx
282,Throgs Neck and Co-op City (CD10),2021,Bronx
283,Williamsbridge and Baychester (CD12),2017,Bronx
284,Williamsburg - Bushwick,2010,Brooklyn
285,Williamsburg - Bushwick,2017,Brooklyn
286,Williamsburg - Bushwick,2021,Brooklyn
287,Williamsburg - Bushwick,2009,Brooklyn
288,Bensonhurst - Bay Ridge,2010,Brooklyn
289,Bensonhurst - Bay Ridge,2014,Brooklyn
290,Bensonhurst - Bay Ridge,2013,Brooklyn
291,Long Island City - Astoria,2018,Queens
292,Upper East Side,2012,Manhattan
293,Upper East Side,2022,Manhattan
294,Crotona -Tremont,2012,Bronx
295,Upper East Side,2012,Manhattan
296,Flushing - Clearview,2012,Queens
297,Upper East Side,2021,Manhattan
298,Bedford Stuyvesant - Crown Heights,2021,Brooklyn
299,Crotona -Tremont,2021,Bronx
300,Upper East Side,2014,Manhattan
301,Flushing - Clearview,2009,Queens
302,Upper East Side,2021,Manhattan
303,Upper East Side,2009,Manhattan
304,Flushing - Clearview,2021,Queens
305,East Harlem,2021,Manhattan
306,Upper East Side,2013,Manhattan
307,East Harlem,2013,Manhattan
308,Fordham - Bronx Pk,2013,Bronx
309,Flushing - Clearview,2010,Queens
310,Upper East Side,2020,Manhattan
311,East Harlem,2021,Manhattan
312,Upper East Side,2010,Manhattan
313,Upper East Side,2014,Manhattan
314,Upper East Side,2013,Manhattan
315,Upper East Side,2009,Manhattan
316,Flushing - Clearview,2014,Queens
317,Upper East Side,2017,Manhattan
318,Upper East Side,2021,Manhattan
319,Bedford Stuyvesant - Crown Heights,2010,Brooklyn
320,Bedford Stuyvesant - Crown Heights,2021,Brooklyn
321,Bedford Stuyvesant - Crown Heights,2014,Brooklyn
322,Crotona -Tremont,2021,Bronx
323,Upper East Side,2012,Manhattan
324,Bedford Stuyvesant - Crown Heights,2021,Brooklyn
325,Upper West Side (CD7),2010,Manhattan
326,Upper West Side (CD7),2013,Manhattan
327,East New York,2009,Brooklyn
328,Upper West Side,2011,Manhattan
329,Upper West Side,2015,Manhattan
330,Upper West Side,2020,Manhattan
331,Williamsburg - Bushwick,2020,Brooklyn
332,Upper West Side,2016,Manhattan
333,East New York,2015,Brooklyn
334,East New York,2013,Brooklyn
335,Upper West Side,2009,Manhattan
336,Upper West Side,2011,Manhattan
337,Williamsburg - Bushwick,2014,Brooklyn
338,Pelham - Throgs Neck,2015,Bronx
339,Williamsburg - Bushwick,2018,Brooklyn
340,Upper West Side,2015,Manhattan
341,East New York,2020,Brooklyn
342,Rockaway and Broad Channel (CD14),2010,Queens
343,Bayside - Little Neck,2012,Queens
344,Bayside - Little Neck,2009,Queens
345,Sunset Park (CD7),2009,Brooklyn
346,Sunset Park (CD7),2010,Brooklyn
347,Sunset Park (CD7),2017,Brooklyn
348,Williamsburg - Bushwick,2019,Brooklyn
349,Williamsburg - Bushwick,2017,Brooklyn
350,Bayside - Little Neck,2017,Queens
351,Pelham - Throgs Neck,2008,Bronx
352,Upper West Side (CD7),2012,Manhattan
353,Upper West Side (CD7),2010,Manhattan
354,Rockaway and Broad Channel (CD14),2012,Queens
355,Sunset Park (CD7),2014,Brooklyn
356,Rockaway and Broad Channel (CD14),2011,Queens
357,Rockaway and Broad Channel (CD14),2009,Queens
358,Chelsea - Clinton,2015,Manhattan
359,Downtown - Heights - Slope,2015,Brooklyn
360,Downtown - Heights - Slope,2022,Brooklyn
